"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"14",10405087,"HZ141482","01/26/2016 06:32:00 PM","082XX S ASHLAND AVE","1122","DECEPTIVE PRACTICE","COUNTERFEIT CHECK","CURRENCY EXCHANGE",TRUE,FALSE,614,6,21,71,"10",1167109,1849981,2016,"03/25/2016 03:46:20 PM",41.74390229,-87.66327619,"(41.743902286, -87.663276191)"
"15",1924682,"HH104940","01-03-2002 15:00","062XX S HALSTED ST","810","THEFT","OVER $500","SIDEWALK",FALSE,FALSE,712,7,NA,NA,"6",1172046,1863257,2002,"04/15/2016 08:55:02 AM",41.78022636,-87.64479723,"(41.780226359, -87.644797232)"
"16",10405318,"HZ141452","01/25/2016 02:45:00 PM","028XX N TALMAN AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","",FALSE,FALSE,1411,14,1,21,"11",1158219,1918761,2016,"02-10-2016 15:51",41.93282787,-87.69397422,"(41.932827865, -87.693974215)"
"17",1924710,"HH108129","12/26/2001 12:00:00 PM","010XX W WOLFRAM ST","910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET",FALSE,FALSE,1932,19,NA,NA,"7",1169089,1919145,2001,"08/17/2015 03:03:40 PM",41.93365219,-87.65401698,"(41.933652193, -87.654016976)"
"18",10405320,"HZ141333","01/14/2016 03:00:00 AM","023XX W OHIO ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT",FALSE,FALSE,1221,12,26,24,"14",1160500,1903943,2016,"02-10-2016 15:51",41.89211918,-87.68600274,"(41.892119183, -87.686002741)"
"19",10405322,"HZ141344","01/31/2016 02:00:00 PM","002XX E RANDOLPH ST","890","THEFT","FROM BUILDING","OTHER",FALSE,FALSE,114,1,42,32,"6",1177944,1901223,2016,"02-10-2016 15:51",41.88427637,-87.62202182,"(41.884276366, -87.622021816)"
"20",10405336,"HZ141448","02-01-2016 08:00","083XX S CRANDON AVE","460","BATTERY","SIMPLE","SIDEWALK",FALSE,FALSE,412,4,8,46,"08B",1192964,1850031,2016,"02-10-2016 15:51",41.74344798,-87.56854074,"(41.743447975, -87.568540738)"
"21",1924715,"HH108140","12/21/2001 09:00:00 AM","003XX E SUPERIOR ST","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","OTHER",FALSE,FALSE,1834,18,NA,NA,"11",1178843,1905401,2001,"08/17/2015 03:03:40 PM",41.8957205,-87.61859283,"(41.8957205, -87.618592829)"
"22",10405338,"HZ141660","01/26/2016 09:00:00 AM","017XX W WALLEN AVE","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","APARTMENT",FALSE,FALSE,2432,24,49,1,"11",1163481,1944220,2016,"02-10-2016 15:51",42.00257912,-87.67391681,"(42.002579121, -87.673916805)"
"23",10405360,"HZ141874","01/30/2016 06:00:00 AM","074XX N GREENVIEW AVE","5000","OTHER OFFENSE","OTHER CRIME AGAINST PERSON","SIDEWALK",FALSE,FALSE,2422,24,49,1,"26",1164995,1949687,2016,"02-10-2016 15:51",42.01754854,-87.66819067,"(42.017548537, -87.668190673)"
"24",10405361,"HZ140716","01/26/2016 12:00:00 PM","023XX E 93RD ST","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE",FALSE,FALSE,413,4,7,48,"26",1193360,1843756,2016,"02-10-2016 15:51",41.72621915,-87.56729444,"(41.726219145, -87.567294437)"
"25",10405378,"HZ141505","02-02-2016 08:30","005XX N HOMAN AVE","430","BATTERY","AGGRAVATED: OTHER DANG WEAPON","STREET",FALSE,FALSE,1121,11,27,23,"04B",1153615,1903476,2016,"02-10-2016 15:51",41.89097744,-87.71130092,"(41.890977441, -87.711300919)"
"26",1924722,"HH105263","10/15/2001 02:00:00 PM","028XX S SHIELDS AV","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","RESIDENCE",FALSE,FALSE,2113,2,NA,NA,"11",1174461,1885817,2001,"08/17/2015 03:03:40 PM",41.84207974,-87.63527167,"(41.842079737, -87.635271668)"
"27",10405380,"HZ141546","02-02-2016 08:00","024XX N LOREL AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT",FALSE,FALSE,2515,25,31,19,"14",1140309,1915764,2016,"02-10-2016 15:51",41.92495142,-87.75986613,"(41.924951422, -87.759866134)"
"28",10405382,"HZ135068","01/30/2016 11:50:00 PM","009XX W BELMONT AVE","320","ROBBERY","STRONGARM - NO WEAPON","CTA PLATFORM",FALSE,FALSE,1933,19,44,6,"3",1169269,1921430,2016,"02-10-2016 15:51",41.93991842,-87.65328888,"(41.93991842, -87.653288878)"
"29",10405396,"HZ141870","01/22/2016 03:00:00 PM","081XX S KOSTNER AVE","610","BURGLARY","FORCIBLE ENTRY","RESIDENCE",FALSE,FALSE,834,8,13,70,"5",1148561,1850232,2016,"02-10-2016 15:51",41.74496731,-87.73123207,"(41.744967309, -87.731232073)"
"30",10405405,"HZ141900","02-01-2016 11:00","013XX W ADDISON ST","890","THEFT","FROM BUILDING","RESTAURANT",FALSE,FALSE,1924,19,44,6,"6",1166525,1924018,2016,"02-10-2016 15:51",41.94707931,-87.66329953,"(41.947079305, -87.663299533)"
"31",10405422,"HZ141230","02-01-2016 23:00","077XX S CORNELL AVE","620","BURGLARY","UNLAWFUL ENTRY","APARTMENT",FALSE,FALSE,411,4,8,43,"5",1188579,1854033,2016,"02-10-2016 15:51",41.75453566,-87.58447978,"(41.754535659, -87.584479776)"
"32",10405431,"HZ141932","01/31/2016 08:00:00 AM","022XX N NORDICA AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE",FALSE,FALSE,2512,25,36,25,"11",1128725,1913996,2016,"02-10-2016 15:51",41.9203045,-87.80247203,"(41.920304504, -87.802472033)"
"33",10405631,"HZ141522","01/29/2016 09:30:00 AM","004XX E 70TH ST","820","THEFT","$500 AND UNDER","STREET",FALSE,FALSE,322,3,6,69,"6",1180574,1858709,2016,"02-10-2016 15:51",41.76755456,-87.61367199,"(41.767554557, -87.613671987)"
"34",10405644,"HZ138696","02-02-2016 17:00","057XX S CICERO AVE","890","THEFT","FROM BUILDING","AIRPORT VENDING ESTABLISHMENT",FALSE,FALSE,813,8,23,56,"6",1145654,1866253,2016,"02-10-2016 15:51",41.78898704,-87.74147999,"(41.788987036, -87.74147999)"
"35",10405673,"HZ142237","02-02-2016 13:00","009XX W 34TH ST","820","THEFT","$500 AND UNDER","STREET",FALSE,FALSE,913,9,11,60,"6",1170621,1882391,2016,"02-10-2016 15:51",41.83276326,-87.64946333,"(41.832763264, -87.649463331)"
"36",10405675,"HZ139912","01/26/2016 07:05:00 PM","0000X E 77TH ST","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE",FALSE,TRUE,623,6,6,69,"26",1177846,1853968,2016,"02-10-2016 15:51",41.75460692,-87.62381456,"(41.754606922, -87.623814556)"
"37",1924740,"G660491","11-02-2001 15:40","076XX S OGLESBY AV","560","ASSAULT","SIMPLE","RESIDENCE",FALSE,FALSE,414,4,NA,NA,"08A",1193163,1854401,2001,"08/17/2015 03:03:40 PM",41.75543476,-87.56766912,"(41.755434762, -87.567669118)"
"38",1924741,"HH108207","11-09-2001 12:00","010XX W GRANVILLE AV","841","THEFT","FINANCIAL ID THEFT:$300 &UNDER","RESIDENCE",FALSE,FALSE,2433,24,NA,NA,"6",1168051,1941384,2001,"08/17/2015 03:03:40 PM",41.99469928,-87.65718663,"(41.994699275, -87.657186625)"
"39",10405677,"HZ142251","01/22/2016 09:00:00 AM","028XX N NARRAGANSETT AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","BANK",FALSE,FALSE,2511,25,29,19,"11",1133261,1918124,2016,"02-10-2016 15:51",41.93155396,-87.78570874,"(41.931553962, -87.785708738)"
"40",10405700,"HZ142284","01/30/2016 12:00:00 PM","063XX N PAULINA ST","560","ASSAULT","SIMPLE","CHURCH/SYNAGOGUE/PLACE OF WORSHIP",FALSE,FALSE,2433,24,40,77,"08A",1164026,1942281,2016,"02-10-2016 15:51",41.99724692,-87.6719669,"(41.997246921, -87.6719669)"
"41",10405723,"HZ142318","01/26/2016 08:00:00 PM","076XX S KINGSTON AVE","890","THEFT","FROM BUILDING","APARTMENT",FALSE,FALSE,421,4,7,43,"6",1194518,1854844,2016,"02-10-2016 15:51",41.75661719,-87.56268894,"(41.756617188, -87.562688944)"
"42",10405742,"HZ138762","02-01-2016 06:00","038XX S WABASH AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE",FALSE,FALSE,213,2,3,35,"26",1177358,1879593,2016,"02-10-2016 15:51",41.82493549,-87.62482903,"(41.824935492, -87.624829033)"
"43",10405748,"HZ136523","01/31/2016 07:00:00 AM","068XX S WABASH AVE","1750","OFFENSE INVOLVING CHILDREN","CHILD ABUSE","APARTMENT",FALSE,FALSE,322,3,20,69,"20",1177903,1859744,2016,"02-10-2016 15:51",41.77045562,-87.62343098,"(41.770455618, -87.623430981)"
"44",10405766,"HZ142413","02-02-2016 10:55","037XX N NEWLAND AVE","820","THEFT","$500 AND UNDER","CHURCH/SYNAGOGUE/PLACE OF WORSHIP",FALSE,FALSE,1632,16,36,17,"6",1129407,1924138,2016,"02-10-2016 15:51",41.94812376,-87.79973426,"(41.948123764, -87.799734256)"
"45",10405769,"HZ142383","02-02-2016 20:00","036XX W BELDEN AVE","820","THEFT","$500 AND UNDER","STREET",FALSE,FALSE,2525,25,26,22,"6",1151747,1915046,2016,"02-10-2016 15:51",41.92276357,-87.71785632,"(41.922763569, -87.717856319)"
"46",10405772,"HZ142414","01/15/2016 09:00:00 AM","017XX W ROSCOE ST","1155","DECEPTIVE PRACTICE","AGGRAVATED FINANCIAL IDENTITY THEFT","RESIDENCE",FALSE,FALSE,1922,19,32,6,"11",1163939,1922616,2016,"02-10-2016 15:51",41.94328722,-87.67284464,"(41.943287223, -87.672844636)"
"47",10493849,"HZ234564","03-10-2016 22:00","018XX S HOMAN AVE","820","THEFT","$500 AND UNDER","RESIDENCE",FALSE,FALSE,1021,10,24,29,"6",NA,NA,2016,"04/22/2016 03:52:23 PM",NA,NA,""
"48",10493852,"HZ233486","04-04-2016 13:30","108XX S AVENUE H","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE",FALSE,FALSE,432,4,10,52,"14",NA,NA,2016,"04/22/2016 03:52:23 PM",NA,NA,""
"49",1924755,"HH108226","11/17/2001 03:00:00 PM","053XX W IRVING PARK RD","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","OTHER",FALSE,FALSE,1634,16,NA,NA,"11",1139943,1926036,2001,"08/17/2015 03:03:40 PM",41.95314553,-87.76095899,"(41.953145531, -87.76095899)"
"50",10405785,"HZ142443","01/30/2016 04:44:00 PM","008XX W BUENA AVE","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","RESIDENCE",FALSE,FALSE,1915,19,46,3,"11",1169871,1928197,2016,"02-10-2016 15:51",41.9584742,-87.65087832,"(41.958474197, -87.65087832)"
"51",10405786,"HZ142388","01/20/2016 10:00:00 AM","011XX N LA SALLE DR","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","RESIDENCE",FALSE,FALSE,1824,18,43,8,"11",1174931,1907935,2016,"02-10-2016 15:51",41.90276245,-87.63288458,"(41.902762454, -87.632884581)"
"52",10405933,"HZ142667","01/30/2016 11:30:00 PM","018XX S INDIANA AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","CTA STATION",FALSE,FALSE,132,1,2,33,"11",1177943,1891472,2016,"02-10-2016 15:51",41.85751908,-87.62232208,"(41.857519075, -87.622322079)"
"53",10405937,"HZ142666","01/30/2016 11:30:00 PM","015XX N MILWAUKEE AVE","890","THEFT","FROM BUILDING","BAR OR TAVERN",FALSE,FALSE,1424,14,1,24,"6",1163008,1910416,2016,"02-10-2016 15:51",41.90982929,-87.67660996,"(41.909829291, -87.676609962)"
"54",10405940,"HZ142690","01/20/2016 02:00:00 PM","046XX N ST LOUIS AVE","890","THEFT","FROM BUILDING","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,1723,17,33,14,"6",1152219,1930511,2016,"02-10-2016 15:51",41.96519139,-87.71571259,"(41.965191388, -87.715712591)"
"55",10405944,"HZ142682","01/25/2016 01:00:00 AM","109XX S VERNON AVE","486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT",TRUE,TRUE,513,5,9,49,"08B",1181184,1832567,2016,"04-02-2016 15:46",41.69580377,-87.61223887,"(41.695803772, -87.612238867)"
"56",10405945,"HZ142692","02-02-2016 12:49","009XX N MICHIGAN AVE","860","THEFT","RETAIL THEFT","SMALL RETAIL STORE",TRUE,FALSE,1833,18,42,8,"6",1177320,1906851,2016,"04/13/2016 03:55:28 PM",41.89973405,-87.62414238,"(41.899734047, -87.624142375)"
"57",10106750,"HY152777","02/15/2015 07:16:00 PM","007XX N RIDGEWAY AVE","2014","NARCOTICS","MANU/DELIVER: HEROIN (WHITE)","VEHICLE NON-COMMERCIAL",TRUE,FALSE,1112,11,27,23,"18",1151254,1904680,2015,"04/15/2016 03:49:27 PM",41.89432798,-87.71994015,"(41.89432798, -87.719940148)"
"58",10405953,"HZ142719","02-01-2016 09:00","015XX E 84TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE",FALSE,FALSE,412,4,8,45,"14",1187948,1849590,2016,"02-10-2016 15:51",41.74235869,-87.58693341,"(41.742358691, -87.586933406)"
"59",10405954,"HZ142686","01/29/2016 12:00:00 PM","073XX S CLYDE AVE","820","THEFT","$500 AND UNDER","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,333,3,5,43,"6",1191492,1856723,2016,"02-10-2016 15:51",41.76184717,-87.57371766,"(41.761847167, -87.573717658)"
"60",10405970,"HZ142491","01/31/2016 05:21:00 PM","069XX S PAULINA ST","560","ASSAULT","SIMPLE","APARTMENT",FALSE,FALSE,735,7,17,67,"08A",1166211,1858618,2016,"02-10-2016 15:51",41.76762256,-87.66632119,"(41.767622557, -87.666321189)"
"61",10405976,"HZ142756","02-02-2016 12:00","017XX W TAYLOR ST","890","THEFT","FROM BUILDING","HOSPITAL BUILDING/GROUNDS",FALSE,FALSE,1231,12,2,28,"6",1164761,1895624,2016,"02-10-2016 15:51",41.86920189,-87.67058988,"(41.869201889, -87.670589881)"
"62",10405977,"HZ142713","01/20/2016 08:00:00 AM","029XX W 53RD ST","910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET",FALSE,FALSE,923,9,14,63,"7",1157511,1869355,2016,"02-10-2016 15:51",41.79726714,-87.6979199,"(41.797267142, -87.697919904)"
"63",10406001,"HZ142760","02-02-2016 09:00","037XX S WOLCOTT AVE","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE",FALSE,FALSE,912,9,11,59,"11",1164301,1879984,2016,"02-10-2016 15:51",41.82629392,-87.67272035,"(41.826293923, -87.672720348)"
"64",1924773,"HH108257","12-05-2001 06:00","052XX W WAVELAND AV","820","THEFT","$500 AND UNDER","RESIDENCE",FALSE,FALSE,1634,16,NA,NA,"6",1140506,1924134,2001,"08/17/2015 03:03:40 PM",41.94791593,-87.75893619,"(41.947915928, -87.758936192)"
"65",10406011,"HZ142678","01/16/2016 12:01:00 AM","011XX N SPAULDING AVE","810","THEFT","OVER $500","COMMERCIAL / BUSINESS OFFICE",FALSE,FALSE,1121,11,26,23,"6",1154096,1907551,2016,"02-10-2016 15:51",41.90215005,-87.70942561,"(41.902150046, -87.709425606)"
"66",1924775,"HH106747","06-10-2001 14:00","072XX S RACINE AV","820","THEFT","$500 AND UNDER","PARKING LOT/GARAGE(NON.RESID.)",FALSE,FALSE,734,7,NA,NA,"6",1169526,1857028,2001,"08/17/2015 03:03:40 PM",41.76318821,-87.65421627,"(41.763188206, -87.654216265)"
"67",10406033,"HZ142570","02-01-2016 12:51","005XX N KINGSBURY ST","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE",FALSE,FALSE,1831,18,42,8,"26",1173193,1903598,2016,"02-10-2016 15:51",41.89090025,-87.63939736,"(41.890900247, -87.639397357)"
"68",10406048,"HZ142840","02-02-2016 18:00","018XX W ROSCOE ST","810","THEFT","OVER $500","STREET",FALSE,FALSE,1922,19,32,5,"6",1163498,1922605,2016,"02-10-2016 15:51",41.94326635,-87.67446584,"(41.943266352, -87.674465841)"
"69",1924778,"HH108222","12-01-2001 09:00","041XX N MOZART ST","840","THEFT","FINANCIAL ID THEFT: OVER $300","RESIDENCE",FALSE,FALSE,1724,17,NA,NA,"6",1156668,1927721,2001,"08/17/2015 03:03:40 PM",41.9574463,-87.6994305,"(41.957446297, -87.699430495)"
"70",10406056,"HZ138037","01/23/2016 12:00:00 PM","059XX S EMERALD AVE","610","BURGLARY","FORCIBLE ENTRY","RESIDENCE",FALSE,FALSE,711,7,16,68,"5",1172312,1865527,2016,"02-10-2016 15:51",41.78644965,-87.64375529,"(41.786449647, -87.643755294)"
"71",10406087,"HZ142069","01/30/2016 04:00:00 AM","046XX N BROADWAY","820","THEFT","$500 AND UNDER","STREET",FALSE,FALSE,1913,19,46,3,"6",1167942,1930944,2016,"02-10-2016 15:51",41.966054,-87.6578904,"(41.966053999, -87.657890403)"
"72",10406143,"HZ142824","01/14/2016 12:00:00 PM","048XX N SHERIDAN RD","460","BATTERY","SIMPLE","APARTMENT",FALSE,FALSE,2024,20,48,3,"08B",1168762,1932302,2016,"02-10-2016 15:51",41.96976262,-87.65483589,"(41.969762615, -87.654835892)"
"73",10406209,"HZ142849","01/24/2016 11:00:00 AM","026XX W 25TH ST","915","MOTOR VEHICLE THEFT","TRUCK, BUS, MOTOR HOME","STREET",FALSE,FALSE,1034,10,12,30,"7",1159263,1887312,2016,"02-10-2016 15:51",41.84650761,-87.69100275,"(41.846507607, -87.691002753)"
"74",10406264,"HZ142934","02-02-2016 18:00","013XX W ROSCOE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","OTHER",FALSE,FALSE,1924,19,44,6,"14",1166727,1922693,2016,"02-10-2016 15:51",41.94343911,-87.66259515,"(41.943439108, -87.662595152)"
"75",10406291,"HZ143158","02-02-2016 05:15","088XX S UNION AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE",FALSE,TRUE,2223,22,21,71,"26",1173186,1846301,2016,"02-10-2016 15:51",41.73367187,-87.64111801,"(41.733671867, -87.641118007)"
"76",1924787,"HH108312","12/30/2001 04:00:00 PM","013XX N LAWNDALE AV","810","THEFT","OVER $500","APARTMENT",FALSE,FALSE,2535,25,NA,NA,"6",1151502,1908599,2001,"08/17/2015 03:03:40 PM",41.90507723,-87.71892623,"(41.905077233, -87.718926232)"
"77",10406316,"HZ143132","01/23/2016 10:30:00 PM","054XX N SHERIDAN RD","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","APARTMENT",FALSE,TRUE,2023,20,48,77,"26",1168655,1936367,2016,"02-10-2016 15:51",41.98091941,-87.65511099,"(41.980919411, -87.655110993)"
"78",10406361,"HZ140876","01/29/2016 03:00:00 PM","084XX S WINCHESTER AVE","810","THEFT","OVER $500","RESIDENCE",FALSE,FALSE,614,6,18,71,"6",1164823,1848689,2016,"02-10-2016 15:51",41.74040539,-87.67168872,"(41.740405387, -87.671688724)"
"79",10406427,"HZ143304","02-01-2016 15:00","087XX S COTTAGE GROVE AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","STREET",FALSE,TRUE,632,6,6,44,"26",1183086,1847385,2016,"02-10-2016 15:51",41.73642227,-87.60481597,"(41.736422269, -87.604815966)"
"80",10406457,"HZ143365","01/29/2016 04:00:00 AM","034XX N PAGE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE-GARAGE",FALSE,FALSE,1631,16,36,17,"14",1121814,1921745,2016,"02-10-2016 15:51",41.94168339,-87.82769704,"(41.94168339, -87.827697036)"
"81",1924796,"HH107850","12/28/2001 01:00:00 PM","001XX E 103 ST","820","THEFT","$500 AND UNDER","OTHER",TRUE,FALSE,511,5,NA,NA,"6",1179257,1836755,2001,"08/17/2015 03:03:40 PM",41.70734028,-87.6191671,"(41.707340275, -87.619167095)"
"82",10406469,"HZ143338","01/31/2016 11:30:00 PM","067XX N RICHMOND ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET",FALSE,FALSE,2412,24,50,2,"14",1155461,1944565,2016,"02-10-2016 15:51",42.00369152,-87.70341243,"(42.003691517, -87.703412432)"
"83",19248,"HS125402","01/18/2010 04:28:00 AM","013XX W 15TH ST","110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT",TRUE,FALSE,1231,12,2,28,"01A",1167637,1892859,2010,"08/17/2015 03:03:40 PM",41.86155308,-87.66011099,"(41.861553084, -87.660110993)"
"84",10406498,"HZ143422","01/31/2016 12:00:00 PM","016XX W CONGRESS PKWY","890","THEFT","FROM BUILDING","HOSPITAL BUILDING/GROUNDS",FALSE,FALSE,1231,12,2,28,"6",1165475,1897799,2016,"02-10-2016 15:51",41.87515512,-87.66790671,"(41.875155116, -87.667906709)"
"85",10406511,"HZ143423","01/31/2016 02:00:00 PM","013XX W 18TH ST","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","RESTAURANT",FALSE,FALSE,1233,12,25,31,"11",1167550,1891523,2016,"02-10-2016 15:51",41.85788886,-87.66046879,"(41.857888856, -87.660468787)"
"86",10406514,"HZ143438","01/20/2016 06:00:00 PM","0000X W KINZIE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT/GARAGE(NON.RESID.)",FALSE,FALSE,1831,18,42,8,"14",1175704,1903008,2016,"02-10-2016 15:51",41.88922516,-87.63019356,"(41.88922516, -87.630193562)"
"87",10406671,"HZ143634","02-02-2016 14:45","078XX S BISHOP ST","5002","OTHER OFFENSE","OTHER VEHICLE OFFENSE","STREET",FALSE,FALSE,612,6,17,71,"26",1167918,1852799,2016,"02-10-2016 15:51",41.75161795,-87.66023117,"(41.751617946, -87.660231166)"
"88",10406694,"HZ143688","01/24/2016 02:00:00 PM","015XX N LA SALLE DR","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","APARTMENT",FALSE,FALSE,1821,18,43,8,"26",1174846,1910635,2016,"02-10-2016 15:51",41.91017329,-87.63311584,"(41.910173288, -87.633115841)"
"89",1924806,"HH108054","11/23/2001 04:00:00 PM","028XX W FULLERTON AV","810","THEFT","OVER $500","RESIDENCE",FALSE,TRUE,1414,14,NA,NA,"6",1156989,1915784,2001,"08/17/2015 03:03:40 PM",41.92468384,-87.69857535,"(41.924683839, -87.698575351)"
"90",10406720,"HZ143661","01/31/2016 04:00:00 PM","061XX W HIGGINS AVE","610","BURGLARY","FORCIBLE ENTRY","OTHER",FALSE,FALSE,1622,16,45,11,"5",1134062,1933786,2016,"02-10-2016 15:51",41.97451804,-87.78239515,"(41.974518039, -87.782395145)"
"91",1924809,"HH108382","12/21/2001 06:00:00 PM","071XX S TROY ST","610","BURGLARY","FORCIBLE ENTRY","RESIDENCE-GARAGE",FALSE,FALSE,831,8,NA,NA,"5",1156568,1857027,2001,"08/17/2015 03:03:40 PM",41.76345638,-87.70171011,"(41.76345638, -87.701710108)"
